"","Year","Team_ID","Conference_ID","Division_ID","SeasonEnd_Rank","Playoff_Result","Team_Total_Games","Team_Wins","Team_Losses","Team_Ties","Team_OT_Losses","Team_Points","Team_ShootoutWins","Team_ShootoutLosses","Team_GoalsFor","Team_GoalsAgainst","TeamName","Team_PenaltyMin","Team_BenchMinors","Team_PPG","Team_PPC","Team_SHA","Team_PKG","Team_PKC","Team_SHF"
"43",2001,"FLO","EC","SE",4,NA,82,22,44,10,6,60,0,0,180,250,"Florida Panthers",1994,26,50,341,7,76,393,8
"44",2001,"LAK","WC","PC",3,"CQF",82,40,27,11,4,95,0,0,214,190,"Los Angeles Kings",1348,16,73,353,6,49,366,5
"45",2001,"MIN","WC","NW",5,NA,82,26,35,12,9,73,0,0,195,238,"Minnesota Wild",1209,16,55,373,9,62,362,11
"46",2001,"MTL","EC","NE",4,"CSF",82,36,31,12,3,87,0,0,207,209,"Montreal Canadiens",974,24,45,301,4,38,276,7
"47",2001,"NAS","WC","CE",4,NA,82,28,41,13,0,69,0,0,196,230,"Nashville Predators",1071,20,48,337,8,50,354,6
"48",2001,"NJD","EC","AT",3,"CQF",82,41,28,9,4,95,0,0,205,187,"New Jersey Devils",1010,18,44,261,8,43,264,2
"49",2001,"NYI","EC","AT",2,"CQF",82,42,28,8,4,96,0,0,239,220,"New York Islanders",1255,14,59,363,10,52,366,17
"50",2001,"NYR","EC","AT",4,NA,82,36,38,4,4,80,0,0,227,258,"New York Rangers",1753,10,48,326,5,80,398,8
"51",2001,"OTT","EC","NE",3,"CSF",82,39,27,9,7,94,0,0,243,208,"Ottawa Senators",1347,16,55,331,5,48,307,11
"52",2001,"PHI","EC","AT",1,"CQF",82,42,27,10,3,97,0,0,234,192,"Philadelphia Flyers",1242,16,39,299,10,40,293,8
"53",2001,"PHO","WC","PC",2,"CQF",82,40,27,9,6,95,0,0,228,210,"Phoenix Coyotes",1154,16,53,341,6,60,356,8
"54",2001,"PIT","EC","AT",5,NA,82,28,41,8,5,69,0,0,198,249,"Pittsburgh Penguins",1248,16,47,335,10,57,352,5
"55",2001,"SJS","WC","PC",1,"CSF",82,44,27,8,3,99,0,0,248,199,"San Jose Sharks",1249,8,59,368,6,54,380,15
"56",2001,"STL","WC","CE",2,"CSF",82,43,27,8,4,98,0,0,227,188,"St. Louis Blues",1343,26,62,356,7,56,379,5
"57",2001,"TBL","EC","SE",3,NA,82,27,40,11,4,69,0,0,178,219,"Tampa Bay Lightning",1072,22,46,311,9,40,273,6
"58",2001,"TOR","EC","NE",2,"CF",82,43,25,10,4,100,0,0,249,207,"Toronto Maple Leafs",1212,12,54,349,6,51,328,9
"59",2001,"VAN","WC","NW",2,"CQF",82,42,30,7,3,94,0,0,254,211,"Vancouver Canucks",1342,28,69,372,9,57,379,3
"60",2001,"WAS","EC","SE",2,NA,82,36,33,11,2,85,0,0,228,240,"Washington Capitals",1043,6,58,299,8,58,325,2
"61",2002,"ANA","WC","PC",2,"F",82,40,27,9,6,95,0,0,203,193,"Mighty Ducks of Anaheim",954,20,56,348,5,42,333,8
"62",2002,"ATL","EC","SE",3,NA,82,31,39,7,5,74,0,0,226,284,"Atlanta Thrashers",1253,26,64,371,14,65,355,8
"63",2002,"BOS","EC","NE",3,"CQF",82,36,31,11,4,87,0,0,245,237,"Boston Bruins",1370,24,59,325,11,65,375,10
"64",2002,"BUF","EC","NE",5,NA,82,27,37,10,8,72,0,0,190,219,"Buffalo Sabres",1276,30,51,354,11,53,363,8
"65",2002,"CAL","WC","NW",5,NA,82,29,36,13,4,75,0,0,186,228,"Calgary Flames",1391,22,47,389,10,65,389,5
"66",2002,"CAR","EC","SE",5,NA,82,22,43,11,6,61,0,0,171,240,"Carolina Hurricanes",1208,16,58,420,9,71,392,6
"67",2002,"CBS","WC","CE",5,NA,82,29,42,8,3,69,0,0,213,263,"Columbus Blue Jackets",1505,28,71,410,9,60,409,12
"68",2002,"CHI","WC","CE",3,NA,82,30,33,13,6,79,0,0,207,226,"Chicago Blackhawks",1189,30,39,308,8,56,369,8
"69",2002,"COL","WC","NW",1,"CQF",82,42,19,13,8,105,0,0,251,194,"Colorado Avalanche",1084,24,68,363,6,63,359,5
"70",2002,"DAL","WC","PC",1,"CSF",82,46,17,15,4,111,0,0,245,169,"Dallas Stars",1166,28,62,327,6,50,346,9
"71",2002,"DET","WC","CE",1,"CQF",82,48,20,10,4,110,0,0,269,203,"Detroit Red Wings",1214,26,76,319,4,55,377,11
"72",2002,"EDM","WC","NW",4,"CQF",82,36,26,11,9,92,0,0,231,230,"Edmonton Oilers",1203,16,56,386,8,61,351,13
"73",2002,"FLO","EC","SE",4,NA,82,24,36,13,9,70,0,0,176,237,"Florida Panthers",1127,26,49,347,9,66,356,7
"74",2002,"LAK","WC","PC",3,NA,82,33,37,6,6,78,0,0,203,221,"Los Angeles Kings",1146,50,52,354,4,62,371,8
"75",2002,"MIN","WC","NW",3,"CF",82,42,29,10,1,95,0,0,198,178,"Minnesota Wild",1063,28,52,366,5,43,308,9
"76",2002,"MTL","EC","NE",4,NA,82,30,35,8,9,77,0,0,206,234,"Montreal Canadiens",900,22,44,315,6,58,317,2
"77",2002,"NAS","WC","CE",4,NA,82,27,35,13,7,74,0,0,183,206,"Nashville Predators",969,20,58,418,8,61,353,2
"78",2002,"NJD","EC","AT",1,"SC",82,46,20,10,6,108,0,0,216,166,"New Jersey Devils",938,18,36,303,4,32,264,7
"79",2002,"NYI","EC","AT",3,"CQF",82,35,34,11,2,83,0,0,224,231,"New York Islanders",1244,30,58,384,5,67,405,12
"80",2002,"NYR","EC","AT",4,NA,82,32,36,10,4,78,0,0,210,231,"New York Rangers",1308,14,55,339,8,73,388,8
"81",2002,"OTT","EC","NE",1,"CF",82,52,21,8,1,113,0,0,263,182,"Ottawa Senators",1135,22,83,391,8,50,332,4
"82",2002,"PHI","EC","AT",2,"CSF",82,45,20,13,4,107,0,0,211,166,"Philadelphia Flyers",1003,30,47,328,8,50,338,8
"83",2002,"PHO","WC","PC",4,NA,82,31,35,11,5,78,0,0,204,230,"Phoenix Coyotes",1433,24,55,385,11,77,412,4
"84",2002,"PIT","EC","AT",5,NA,82,27,44,6,5,65,0,0,189,255,"Pittsburgh Penguins",1125,32,66,360,10,58,352,3
"85",2002,"SJS","WC","PC",5,NA,82,28,37,9,8,73,0,0,214,239,"San Jose Sharks",1112,30,68,375,10,68,358,5
"86",2002,"STL","WC","CE",2,"CQF",82,41,24,11,6,99,0,0,253,222,"St. Louis Blues",1618,16,80,391,7,71,389,11
"87",2002,"TBL","EC","SE",1,"CSF",82,36,25,16,5,93,0,0,219,210,"Tampa Bay Lightning",1079,30,70,391,5,55,316,6
"88",2002,"TOR","EC","NE",2,"CQF",82,44,28,7,3,98,0,0,236,208,"Toronto Maple Leafs",1390,22,63,359,7,56,426,11
"89",2002,"VAN","WC","NW",2,"CSF",82,45,23,13,1,104,0,0,264,208,"Vancouver Canucks",1178,36,87,419,10,62,389,12
"90",2002,"WAS","EC","SE",2,"CQF",82,39,29,8,6,92,0,0,224,220,"Washington Capitals",1268,22,57,331,4,72,384,8
"91",2003,"ANA","WC","PC",4,NA,82,29,35,10,8,76,0,0,184,213,"Mighty Ducks of Anaheim",1131,14,56,310,4,54,353,5
"92",2003,"ATL","EC","SE",2,NA,82,33,37,8,4,78,0,0,214,243,"Atlanta Thrashers",1505,32,60,410,7,58,391,11
"93",2003,"BOS","EC","NE",1,"CQF",82,41,19,15,7,104,0,0,209,188,"Boston Bruins",1208,22,48,300,13,55,335,7
"94",2003,"BUF","EC","NE",5,NA,82,37,34,7,4,85,0,0,220,221,"Buffalo Sabres",1289,28,58,367,9,53,348,7
"95",2003,"CAL","WC","NW",3,"F",82,42,30,7,3,94,0,0,200,176,"Calgary Flames",1428,42,54,357,2,53,346,11
"96",2003,"CAR","EC","SE",3,NA,82,28,34,14,6,76,0,0,172,209,"Carolina Hurricanes",1102,16,41,384,9,66,359,9
"97",2003,"CBS","WC","CE",4,NA,82,25,45,8,4,62,0,0,177,238,"Columbus Blue Jackets",1209,22,58,401,14,50,337,5
"98",2003,"CHI","WC","CE",5,NA,82,20,43,11,8,59,0,0,188,259,"Chicago Blackhawks",1318,18,55,349,14,63,383,5
"99",2003,"COL","WC","NW",2,"CSF",82,40,22,13,7,100,0,0,236,198,"Colorado Avalanche",1293,28,74,363,14,58,357,7
"100",2003,"DAL","WC","PC",2,"CQF",82,41,26,13,2,97,0,0,194,175,"Dallas Stars",1143,20,52,328,11,44,311,5
"101",2003,"DET","WC","CE",1,"CSF",82,48,21,11,2,109,0,0,255,189,"Detroit Red Wings",966,22,63,314,5,42,317,15
"102",2003,"EDM","WC","NW",4,NA,82,36,29,12,5,89,0,0,221,208,"Edmonton Oilers",1220,22,44,338,8,66,350,13
"103",2003,"FLO","EC","SE",4,NA,82,28,35,15,4,75,0,0,188,221,"Florida Panthers",1192,22,52,310,12,51,373,7
"104",2003,"LAK","WC","PC",3,NA,82,28,29,16,9,81,0,0,205,217,"Los Angeles Kings",1163,6,50,356,4,65,336,9
"105",2003,"MIN","WC","NW",5,NA,82,30,29,20,3,83,0,0,188,183,"Minnesota Wild",1035,44,46,339,7,44,285,7
"106",2003,"MTL","EC","NE",4,"CSF",82,41,30,7,4,93,0,0,208,192,"Montreal Canadiens",1039,16,55,319,6,55,314,5
"107",2003,"NAS","WC","CE",3,"CQF",82,38,29,11,4,91,0,0,216,217,"Nashville Predators",1360,28,72,428,8,64,351,14
"108",2003,"NJD","EC","AT",2,"CQF",82,43,25,12,2,100,0,0,213,164,"New Jersey Devils",894,14,51,312,5,39,266,8
"109",2003,"NYI","EC","AT",3,"CQF",82,38,29,11,4,91,0,0,237,210,"New York Islanders",1168,16,54,325,5,52,359,11
"110",2003,"NYR","EC","AT",4,NA,82,27,40,7,8,69,0,0,206,250,"New York Rangers",1459,30,46,322,8,80,388,6
"111",2003,"OTT","EC","NE",3,"CQF",82,43,23,10,6,102,0,0,262,189,"Ottawa Senators",1270,20,80,370,8,57,347,6
"112",2003,"PHI","EC","AT",1,"CF",82,40,21,15,6,101,0,0,229,186,"Philadelphia Flyers",1357,22,65,314,3,58,348,7
"113",2003,"PHO","WC","PC",5,NA,82,22,36,18,6,68,0,0,188,245,"Phoenix Coyotes",1300,24,51,358,8,71,398,9
"114",2003,"PIT","EC","AT",5,NA,82,23,47,8,4,58,0,0,190,303,"Pittsburgh Penguins",1270,32,65,360,15,84,369,7
"115",2003,"SJS","WC","PC",1,"CF",82,43,21,12,6,104,0,0,219,183,"San Jose Sharks",1091,18,56,337,9,47,319,9
"116",2003,"STL","WC","CE",2,"CQF",82,39,30,11,2,91,0,0,191,198,"St. Louis Blues",1274,28,61,341,11,57,369,7
"117",2003,"TBL","EC","SE",1,"SC",82,46,22,8,6,106,0,0,245,192,"Tampa Bay Lightning",985,34,55,339,4,42,278,15
